Date : 2021-06-27 14:49:27
Directory : /Users/alexeimairyn/Desktop/MakeLite/lims-admin
Total : 338 files,  74955 codes, 637 comments, 3334 blanks, all 78926 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| src/assets/styles                                                                                                            |         26 |      1,618 |        127 |        248 |      1,993 |
| src/assets/styles/airui                                                                                                      |          7 |      1,195 |         44 |        126 |      1,365 |
| src/assets/styles/airui/import                                                                                               |          6 |      1,189 |         44 |        125 |      1,358 |
| src/assets/styles/antd                                                                                                       |         17 |        280 |         70 |         95 |        445 |
| src/assets/styles/antd/import                                                                                                |         16 |        259 |         69 |         93 |        421 |
| src/assets/styles/nprogress                                                                                                  |          1 |         81 |          3 |         16 |        100 |
| src/components                                                                                                               |         48 |      4,898 |        103 |        462 |      5,463 |
| src/components/layout                                                                                                        |         12 |      2,376 |         38 |        210 |      2,624 |
| src/components/layout/Loader                                                                                                 |          2 |         40 |          0 |          6 |         46 |
| src/components/layout/MenuLeft                                                                                               |          2 |      1,423 |         36 |        117 |      1,576 |
| src/components/layout/Sidebar                                                                                                |          2 |        582 |          1 |         40 |        623 |
| src/components/layout/SubBar                                                                                                 |          2 |        171 |          1 |         22 |        194 |
| src/components/layout/TopBar                                                                                                 |          4 |        160 |          0 |         25 |        185 |
| src/components/layout/TopBar/UserMenu                                                                                        |          2 |        101 |          0 |         17 |        118 |
| src/components/system                                                                                                        |          8 |        544 |          4 |         59 |        607 |
| src/components/system/Auth                                                                                                   |          5 |        448 |          2 |         48 |        498 |
| src/components/system/Auth/ForgotPassword                                                                                    |          1 |         70 |          0 |          7 |         77 |
| src/components/system/Auth/Login                                                                                             |          1 |         94 |          0 |          6 |        100 |
| src/components/system/Auth/RegByEmail                                                                                        |          1 |        121 |          0 |         14 |        135 |
| src/components/system/Auth/RestorePassword                                                                                   |          1 |        103 |          0 |          9 |        112 |
| src/components/system/Errors                                                                                                 |          3 |         96 |          2 |         11 |        109 |
| src/components/system/Errors/404                                                                                             |          1 |         22 |          0 |          3 |         25 |
| src/components/system/Errors/500                                                                                             |          1 |         54 |          0 |          3 |         57 |
| src/components/widgets                                                                                                       |         28 |      1,978 |         61 |        193 |      2,232 |
| src/components/widgets/DefaultModal                                                                                          |          2 |         50 |          0 |          9 |         59 |
| src/components/widgets/Drawers                                                                                               |          1 |         38 |          1 |          6 |         45 |
| src/components/widgets/IntakeLog                                                                                             |          2 |        264 |          0 |         15 |        279 |
| src/components/widgets/IntakeLog/IntakeReceiptLogModal                                                                       |          2 |        264 |          0 |         15 |        279 |
| src/components/widgets/Inventory                                                                                             |          3 |         84 |          2 |         12 |         98 |
| src/components/widgets/Inventory/ControlTube                                                                                 |          2 |         83 |          1 |         11 |         95 |
| src/components/widgets/Modals                                                                                                |          3 |         99 |          0 |         25 |        124 |
| src/components/widgets/Modals/Confirm                                                                                        |          1 |         27 |          0 |          9 |         36 |
| src/components/widgets/Modals/HelperModal                                                                                    |          1 |         47 |          0 |         10 |         57 |
| src/components/widgets/Pools                                                                                                 |          2 |        312 |         46 |         26 |        384 |
| src/components/widgets/Pools/PoolTable                                                                                       |          2 |        312 |         46 |         26 |        384 |
| src/components/widgets/Rackboard                                                                                             |          2 |        346 |          0 |         26 |        372 |
| src/components/widgets/Scans                                                                                                 |          6 |        334 |          2 |         30 |        366 |
| src/components/widgets/Scans/InvalidateModal                                                                                 |          2 |         97 |          0 |         11 |        108 |
| src/components/widgets/Scans/PoolStatistic                                                                                   |          1 |         53 |          0 |          5 |         58 |
| src/components/widgets/Scans/ScanStatistic                                                                                   |          1 |         73 |          1 |          5 |         79 |
| src/components/widgets/Scans/SessionStatistic                                                                                |          1 |         83 |          1 |          4 |         88 |
| src/components/widgets/SingleSessionTable                                                                                    |          2 |        106 |          1 |         12 |        119 |
| src/components/widgets/companies                                                                                             |          5 |        345 |          9 |         32 |        386 |
| src/components/widgets/companies/CompanyModal                                                                                |          2 |        197 |          1 |         11 |        209 |
| src/components/widgets/companies/ContactResultModal                                                                          |          2 |        146 |          7 |         20 |        173 |
| src/hooks                                                                                                                    |          3 |         71 |         15 |         18 |        104 |
| src/layouts                                                                                                                  |          5 |        189 |          9 |         25 |        223 |
| src/layouts/App                                                                                                              |          2 |         79 |          0 |          7 |         86 |
| src/layouts/Auth                                                                                                             |          1 |         17 |          0 |          3 |         20 |
| src/layouts/Public                                                                                                           |          1 |         10 |          0 |          3 |         13 |
| src/pages                                                                                                                    |         76 |      6,320 |         90 |        702 |      7,112 |
| src/pages/AnalysisRuns                                                                                                       |          2 |        170 |          0 |         21 |        191 |
| src/pages/Companies                                                                                                          |          4 |        602 |          0 |         53 |        655 |
| src/pages/Companies/Company                                                                                                  |          2 |        296 |          0 |         23 |        319 |
| src/pages/Intake                                                                                                             |          4 |        262 |         29 |         33 |        324 |
| src/pages/Intake/run                                                                                                         |          2 |         92 |          0 |         16 |        108 |
| src/pages/IntakeLims                                                                                                         |          4 |        220 |          2 |         31 |        253 |
| src/pages/IntakeLims/run                                                                                                     |          2 |        103 |          0 |         17 |        120 |
| src/pages/IntakeReceiptLog                                                                                                   |          2 |        236 |          2 |         21 |        259 |
| src/pages/Inventory                                                                                                          |          2 |        260 |          0 |         28 |        288 |
| src/pages/Management                                                                                                         |          4 |        702 |          0 |         56 |        758 |
| src/pages/Management/Company                                                                                                 |          2 |        296 |          0 |         23 |        319 |
| src/pages/PoolScan                                                                                                           |          2 |        155 |          1 |         17 |        173 |
| src/pages/Pools                                                                                                              |          2 |         98 |          0 |         19 |        117 |
| src/pages/Profile                                                                                                            |          2 |         31 |          0 |          7 |         38 |
| src/pages/ProfileInfo                                                                                                        |          2 |        127 |          0 |         15 |        142 |
| src/pages/RackScan                                                                                                           |          4 |        195 |          0 |         29 |        224 |
| src/pages/RackScan/Labeled                                                                                                   |          2 |         18 |          0 |          5 |         23 |
| src/pages/RackScans                                                                                                          |          2 |        241 |          0 |         26 |        267 |
| src/pages/Runs                                                                                                               |          4 |        315 |          1 |         36 |        352 |
| src/pages/Runs/run                                                                                                           |          2 |        106 |          0 |         17 |        123 |
| src/pages/Scan                                                                                                               |          4 |        758 |          3 |         71 |        832 |
| src/pages/Scan/Labeled                                                                                                       |          2 |         18 |          0 |          5 |         23 |
| src/pages/ScanSession                                                                                                        |          3 |        166 |          1 |         26 |        193 |
| src/pages/ScanSessions                                                                                                       |          2 |        344 |          1 |         38 |        383 |
| src/pages/Search                                                                                                             |          2 |        118 |          0 |         15 |        133 |
| src/pages/Settings                                                                                                           |          2 |        321 |          1 |         13 |        335 |
| src/pages/Settings/Permissions                                                                                               |          2 |        321 |          1 |         13 |        335 |
| src/pages/TemplateGeneration                                                                                                 |         15 |        776 |         49 |        112 |        937 |
| src/pages/TemplateGeneration/LayoutStage                                                                                     |          3 |        136 |          1 |         17 |        154 |
| src/pages/TemplateGeneration/PoolRacksStage                                                                                  |          6 |        424 |         46 |         64 |        534 |
| src/pages/TemplateGeneration/PoolRacksStage/PoolRack                                                                         |          2 |         65 |          3 |         10 |         78 |
| src/pages/TemplateGeneration/PoolRacksStage/PoolRackTable                                                                    |          2 |        211 |         41 |         33 |        285 |
| src/pages/TemplateGeneration/RunStage                                                                                        |          3 |         83 |          1 |         12 |         96 |
| src/pages/password                                                                                                           |          2 |        139 |          0 |         17 |        156 |
| src/pages/system                                                                                                             |          6 |         84 |          0 |         18 |        102 |
| src/pages/system/404                                                                                                         |          1 |         14 |          0 |          3 |         17 |
| src/pages/system/500                                                                                                         |          1 |         14 |          0 |          3 |         17 |
| src/pages/system/forgot-password                                                                                             |          1 |         14 |          0 |          3 |         17 |
| src/pages/system/login                                                                                                       |          1 |         14 |          0 |          3 |         17 |
| src/pages/system/reg-by-email                                                                                                |          1 |         14 |          0 |          3 |         17 |
| src/pages/system/restore-password                                                                                            |          1 |         14 |          0 |          3 |         17 |
| src/redux                                                                                                                    |         71 |      4,098 |         16 |        482 |      4,596 |
| src/redux/analysisRuns                                                                                                       |          3 |         68 |          1 |         10 |         79 |
| src/redux/companies                                                                                                          |          3 |        349 |          0 |         29 |        378 |
| src/redux/drawer                                                                                                             |          2 |         58 |          0 |          6 |         64 |
| src/redux/factories                                                                                                          |          2 |         52 |          0 |          8 |         60 |
| src/redux/helpers                                                                                                            |          3 |         33 |          0 |          9 |         42 |
| src/redux/intake                                                                                                             |          4 |         61 |          0 |         10 |         71 |
| src/redux/intakeLims                                                                                                         |          4 |         68 |          0 |          9 |         77 |
| src/redux/intakeReceiptLog                                                                                                   |          3 |        173 |          0 |         25 |        198 |
| src/redux/inventory                                                                                                          |          3 |        134 |          0 |         16 |        150 |
| src/redux/management                                                                                                         |          3 |        236 |          5 |         22 |        263 |
| src/redux/menu                                                                                                               |          3 |         35 |          0 |          9 |         44 |
| src/redux/modal                                                                                                              |          2 |         77 |          0 |          5 |         82 |
| src/redux/pools                                                                                                              |          3 |        364 |          5 |         32 |        401 |
| src/redux/racks                                                                                                              |          4 |        258 |          0 |         30 |        288 |
| src/redux/runs                                                                                                               |          3 |        139 |          2 |         12 |        153 |
| src/redux/scanSessions                                                                                                       |          4 |      1,008 |          0 |        118 |      1,126 |
| src/redux/scanners                                                                                                           |          3 |         66 |          0 |         12 |         78 |
| src/redux/search                                                                                                             |          3 |         66 |          0 |          9 |         75 |
| src/redux/settings                                                                                                           |          3 |        121 |          3 |         14 |        138 |
| src/redux/templateGeneration                                                                                                 |          3 |         81 |          0 |         16 |         97 |
| src/redux/timeline                                                                                                           |          3 |         96 |          0 |         14 |        110 |
| src/redux/user                                                                                                               |          3 |        394 |          0 |         54 |        448 |
| src/redux/userSettings                                                                                                       |          2 |         72 |          0 |          9 |         81 |
| src/services                                                                                                                 |         21 |        772 |         77 |        126 |        975 |
| src/utils                                                                                                                    |          9 |        529 |         35 |         38 |        602 |
+------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                                     | language         | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/.pre-commit-config.yaml                                                      | YAML             |          4 |          0 |          1 |          5 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/.prettierrc                                                                  | JSON             |          7 |          0 |          1 |          8 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/.stylelintrc.json                                                            | JSON             |         11 |          0 |          1 |         12 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/.versionrc.json                                                              | JSON             |         14 |          0 |          1 |         15 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/CHANGELOG.md                                                                 | Markdown         |        545 |          0 |         96 |        641 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/README.md                                                                    | Markdown         |          1 |          0 |          2 |          3 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/commitlint.config.js                                                         | JavaScript       |          3 |          0 |          1 |          4 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/config-overrides.js                                                          | JavaScript       |         19 |          1 |          2 |         22 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/jsconfig.json                                                                | JSON             |          7 |          0 |          1 |          8 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/package.json                                                                 | JSON             |        123 |          0 |          1 |        124 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/favicon.svg                                                           | XML              |          3 |          0 |          0 |          3 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/index.html                                                            | HTML             |         35 |          0 |          3 |         38 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/manifest.json                                                         | JSON             |         15 |          0 |          0 |         15 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/resources/fonts/font-awesome/css/font-awesome.css                     | CSS              |      2,327 |         10 |          1 |      2,338 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/resources/fonts/font-awesome/css/font-awesome.min.css                 | CSS              |          1 |          3 |          1 |          5 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/resources/fonts/font-awesome/fonts/fontawesome-webfont.svg            | XML              |      2,671 |          0 |          1 |      2,672 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/resources/fonts/font-awesome/less/animated.less                       | Less             |         28 |          2 |          5 |         35 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/resources/fonts/font-awesome/less/bordered-pulled.less                | Less             |         17 |          3 |          6 |         26 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/resources/fonts/font-awesome/less/core.less                           | Less             |          8 |          2 |          3 |         13 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/resources/fonts/font-awesome/less/fixed-width.less                    | Less             |          4 |          2 |          1 |          7 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/resources/fonts/font-awesome/less/font-awesome.less                   | Less             |         13 |          4 |          2 |         19 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/resources/fonts/font-awesome/less/icons.less                          | Less             |        786 |          2 |          2 |        790 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/resources/fonts/font-awesome/less/larger.less                         | Less             |          9 |          3 |          2 |         14 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/resources/fonts/font-awesome/less/list.less                           | Less             |         16 |          2 |          2 |         20 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/resources/fonts/font-awesome/less/mixins.less                         | Less             |         41 |         10 |         10 |         61 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/resources/fonts/font-awesome/less/path.less                           | Less             |         11 |          3 |          2 |         16 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/resources/fonts/font-awesome/less/rotated-flipped.less                | Less             |         12 |          4 |          5 |         21 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/resources/fonts/font-awesome/less/screen-reader.less                  | Less             |          2 |          2 |          2 |          6 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/resources/fonts/font-awesome/less/stacked.less                        | Less             |         17 |          2 |          2 |         21 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/resources/fonts/font-awesome/less/variables.less                      | Less             |        794 |          3 |          4 |        801 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/resources/fonts/font-awesome/scss/_animated.scss                      | SCSS             |         28 |          2 |          5 |         35 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/resources/fonts/font-awesome/scss/_bordered-pulled.scss               | SCSS             |         17 |          3 |          6 |         26 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/resources/fonts/font-awesome/scss/_core.scss                          | SCSS             |          8 |          2 |          3 |         13 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/resources/fonts/font-awesome/scss/_fixed-width.scss                   | SCSS             |          4 |          2 |          1 |          7 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/resources/fonts/font-awesome/scss/_icons.scss                         | SCSS             |        786 |          2 |          2 |        790 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/resources/fonts/font-awesome/scss/_larger.scss                        | SCSS             |          9 |          3 |          2 |         14 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/resources/fonts/font-awesome/scss/_list.scss                          | SCSS             |         16 |          2 |          2 |         20 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/resources/fonts/font-awesome/scss/_mixins.scss                        | SCSS             |         41 |         10 |         10 |         61 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/resources/fonts/font-awesome/scss/_path.scss                          | SCSS             |         11 |          3 |          2 |         16 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/resources/fonts/font-awesome/scss/_rotated-flipped.scss               | SCSS             |         12 |          4 |          5 |         21 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/resources/fonts/font-awesome/scss/_screen-reader.scss                 | SCSS             |          2 |          2 |          2 |          6 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/resources/fonts/font-awesome/scss/_stacked.scss                       | SCSS             |         17 |          2 |          2 |         21 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/resources/fonts/font-awesome/scss/_variables.scss                     | SCSS             |        794 |          3 |          4 |        801 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/resources/fonts/font-awesome/scss/font-awesome.scss                   | SCSS             |         13 |          4 |          2 |         19 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/resources/fonts/font-feathericons/README.md                           | Markdown         |         16 |          0 |         14 |         30 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/resources/fonts/font-feathericons/demo/demo.css                       | CSS              |        151 |          0 |          2 |        153 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/resources/fonts/font-feathericons/demo/demo.js                        | JavaScript       |         28 |          0 |          3 |         31 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/resources/fonts/font-feathericons/demo/index.html                     | HTML             |      4,024 |          2 |        269 |      4,295 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/resources/fonts/font-feathericons/dist/feather.css                    | CSS              |        818 |          2 |          4 |        824 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/resources/fonts/font-feathericons/dist/fonts/Feather.svg              | XML              |        276 |          0 |          0 |        276 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/resources/fonts/font-feathericons/selection.json                      | JSON             |      6,954 |          0 |          0 |      6,954 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/resources/fonts/font-icomoon/demo-files/demo.css                      | CSS              |        151 |          0 |          2 |        153 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/resources/fonts/font-icomoon/demo-files/demo.js                       | JavaScript       |         27 |          0 |          6 |         33 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/resources/fonts/font-icomoon/demo.html                                | HTML             |      7,399 |          2 |        494 |      7,895 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/resources/fonts/font-icomoon/fonts/icomoon.svg                        | XML              |        501 |          0 |          0 |        501 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/resources/fonts/font-icomoon/selection.json                           | JSON             |     14,886 |          0 |          0 |     14,886 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/resources/fonts/font-icomoon/style.css                                | CSS              |      1,494 |          2 |          5 |      1,501 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/resources/fonts/font-linearicons/demo-files/demo.css                  | CSS              |        150 |          0 |          1 |        151 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/resources/fonts/font-linearicons/demo-files/demo.js                   | JavaScript       |         27 |          0 |          6 |         33 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/resources/fonts/font-linearicons/demo.html                            | HTML             |      2,585 |          2 |        172 |      2,759 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/resources/fonts/font-linearicons/fonts/Linearicons-Free.svg           | XML              |        199 |          0 |          0 |        199 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/resources/fonts/font-linearicons/selection.json                       | JSON             |      6,518 |          0 |          0 |      6,518 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/resources/fonts/font-linearicons/style.css                            | CSS              |        532 |          1 |          4 |        537 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/resources/images/icons/google-logo.svg                                | XML              |         46 |          1 |          1 |         48 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/resources/images/mirimus-light.svg                                    | XML              |          3 |          0 |          0 |          3 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/resources/images/mirimus.svg                                          | XML              |          1 |          0 |          0 |          1 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/resources/images/salivaclear.svg                                      | XML              |          1 |          0 |          0 |          1 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/assets/TwoTone.jsx                                                       | JavaScript React |         21 |          0 |          3 |         24 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/assets/barcode.svg                                                       | XML              |          1 |          0 |          0 |          1 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/assets/download.svg                                                      | XML              |          1 |          0 |          0 |          1 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/assets/empty.svg                                                         | XML              |          1 |          0 |          0 |          1 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/assets/index.js                                                          | JavaScript       |          6 |          0 |          2 |          8 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/assets/logo.svg                                                          | XML              |          3 |          0 |          0 |          3 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/assets/qr-code.svg                                                       | XML              |          1 |          0 |          0 |          1 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/assets/styles/airui/import/colors.scss                                   | SCSS             |        202 |          6 |          7 |        215 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/assets/styles/airui/import/core.scss                                     | SCSS             |         53 |          2 |         10 |         65 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/assets/styles/airui/import/layout.scss                                   | SCSS             |         60 |         10 |         15 |         85 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/assets/styles/airui/import/measurements.scss                             | SCSS             |        154 |          5 |          6 |        165 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/assets/styles/airui/import/router.scss                                   | SCSS             |         68 |          4 |         20 |         92 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/assets/styles/airui/import/utils.scss                                    | SCSS             |        652 |         17 |         67 |        736 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/assets/styles/airui/style.scss                                           | SCSS             |          6 |          0 |          1 |          7 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/assets/styles/antd/import/backtop.scss                                   | SCSS             |         12 |          3 |          5 |         20 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/assets/styles/antd/import/badge.scss                                     | SCSS             |          4 |          3 |          3 |         10 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/assets/styles/antd/import/calendar.scss                                  | SCSS             |         32 |          3 |          9 |         44 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/assets/styles/antd/import/cascader.scss                                  | SCSS             |          4 |          3 |          3 |         10 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/assets/styles/antd/import/dropdown.scss                                  | SCSS             |         29 |          3 |          9 |         41 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/assets/styles/antd/import/form.scss                                      | SCSS             |          8 |         24 |         10 |         42 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/assets/styles/antd/import/input.scss                                     | SCSS             |          4 |          3 |          3 |         10 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/assets/styles/antd/import/layout.scss                                    | SCSS             |         22 |          3 |          7 |         32 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/assets/styles/antd/import/menu.scss                                      | SCSS             |          9 |          3 |          4 |         16 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/assets/styles/antd/import/modal.scss                                     | SCSS             |          4 |          3 |          3 |         10 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/assets/styles/antd/import/notification.scss                              | SCSS             |          4 |          3 |          3 |         10 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/assets/styles/antd/import/progress.scss                                  | SCSS             |          4 |          3 |          3 |         10 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/assets/styles/antd/import/select.scss                                    | SCSS             |         16 |          3 |          5 |         24 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/assets/styles/antd/import/slider.scss                                    | SCSS             |          4 |          3 |          3 |         10 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/assets/styles/antd/import/spin.scss                                      | SCSS             |          7 |          3 |          4 |         14 |
